"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"92","BottomRight",72.0408985394291,0,"2016_0517_103802_035A_Moment4","NoTurtle","RH","Upstream",NA
"93","TopLeft",-7.33480742100433,32.0506433259986,"2016_0517_103802_035A_Moment4","NoTurtle","RH","Upstream",NA
"94","TopRight",94.724633873083,32.0506433259986,"2016_0517_103802_035A_Moment4","NoTurtle","RH","Upstream",NA
"95","Fish",37.711227223751,2.58981339567404,"2016_0517_103802_035A_Moment4","NoTurtle","RH","Upstream",NA
"96","BottomLeft",0,0,"2016_0517_103802_035A_Moment5","NoTurtle","RH","Upstream",NA
"97","BottomRight",66.2609367079183,0,"2016_0517_103802_035A_Moment5","NoTurtle","RH","Upstream",NA
"98","TopLeft",-13.553573965041,29.7872842219379,"2016_0517_103802_035A_Moment5","NoTurtle","RH","Upstream",NA
"99","TopRight",95.4605557216251,29.7872842219379,"2016_0517_103802_035A_Moment5","NoTurtle","RH","Upstream",NA
"100","Fish",40.5500516072717,3.89903145109923,"2016_0517_103802_035A_Moment5","NoTurtle","RH","Upstream",NA
"101","BottomLeft",0,0,"2016_0517_104802_036A_Moment1","NoTurtle","RH","Downstream",NA
"102","BottomRight",66.3929862596273,0,"2016_0517_104802_036A_Moment1","NoTurtle","RH","Downstream",NA
"103","TopLeft",-8.96442388203863,30.9476072428797,"2016_0517_104802_036A_Moment1","NoTurtle","RH","Downstream",NA
"104","TopRight",95.090723027751,30.9476072428797,"2016_0517_104802_036A_Moment1","NoTurtle","RH","Downstream",NA
"105","Fish",36.7235643745222,4.35392116464202,"2016_0517_104802_036A_Moment1","NoTurtle","RH","Downstream",NA
"106","BottomLeft",0,0,"2016_0517_105802_037A_Moment1","NoTurtle","RH","Downstream",NA
"107","BottomRight",80.1404621577196,0,"2016_0517_105802_037A_Moment1","NoTurtle","RH","Downstream",NA
"108","TopLeft",-8.681679073607,27.9937836144807,"2016_0517_105802_037A_Moment1","NoTurtle","RH","Downstream",NA
"109","TopRight",96.0018128940576,27.9937836144807,"2016_0517_105802_037A_Moment1","NoTurtle","RH","Downstream",NA
"110","Fish",32.14126526101,1.85214081940446,"2016_0517_105802_037A_Moment1","NoTurtle","RH","Downstream",NA
"111","BottomLeft",0,0,"2016_0517_105802_037A_Moment2","NoTurtle","RH","Upstream",NA
"112","BottomRight",63.8916829090782,0,"2016_0517_105802_037A_Moment2","NoTurtle","RH","Upstream",NA
"113","TopLeft",-16.0689320069347,32.2242274237338,"2016_0517_105802_037A_Moment2","NoTurtle","RH","Upstream",NA
"114","TopRight",94.6657232948837,32.2242274237338,"2016_0517_105802_037A_Moment2","NoTurtle","RH","Upstream",NA
"115","Fish",45.8500026437239,5.40804780128898,"2016_0517_105802_037A_Moment2","NoTurtle","RH","Upstream",NA
"116","BottomLeft",0,0,"2016_0517_105802_037A_Moment3","NoTurtle","RH","Downstream",NA
"117","BottomRight",76.9695209605852,0,"2016_0517_105802_037A_Moment3","NoTurtle","RH","Downstream",NA
"118","TopLeft",-9.58568706917614,31.1006119892522,"2016_0517_105802_037A_Moment3","NoTurtle","RH","Downstream",NA
"119","TopRight",95.0407908947204,31.1006119892522,"2016_0517_105802_037A_Moment3","NoTurtle","RH","Downstream",NA
"120","Fish",35.2816340671651,2.40099951441423,"2016_0517_105802_037A_Moment3","NoTurtle","RH","Downstream",NA
"121","BottomLeft",0,0,"2016_0517_110802_038A_Moment1","NoTurtle","LMB","Upstream",NA
"122","BottomRight",60.1843330245503,0,"2016_0517_110802_038A_Moment1","NoTurtle","LMB","Upstream",NA
"123","TopLeft",-22.333004344281,33.1432450862623,"2016_0517_110802_038A_Moment1","NoTurtle","LMB","Upstream",NA
"124","TopRight",94.3478950753643,33.1432450862623,"2016_0517_110802_038A_Moment1","NoTurtle","LMB","Upstream",NA
